"000000006356";"Indestå SEA SE4"
"000000006357";"Indestå. FF8 særl.kto."
"000000006361";"Restancer v/løb. konti i DN"
"000000006363";"Finansmin.ord. konti (i DN)"
"000000006365";"Løbende konti i DN"
"000000006367";"Andre mellemværende med DN"
"000000006369";"Kontoindestående vedr. gensidig sikkerhedsstillelse"
"000000006371";"Indenlandske girokonti"
"000000006381";"Øvrige indenlandske bankkonti"
"000000006383";"Pengefors. undervejs i banksy."
"000000006385";"Udenlandske pengeinst.konti."
"000000006391";"Kontantkasse"
"000000006392";"Pengefors. indenl. kontantk."
"000000006393";"Udenlandsk valuta"
"000000006396";"Ænd.likvide midler MODST"
"000000007000";"Reguleret egenkapital"
"000000007012";"Modkonto - bev.i statsforskr."
"000000007100";"Opskrivninger over egenkapitalen"
"000000007102";"Værdiregl. færdigg.udv.proj"
"000000007103";"Værdiregl. erhv.koncess mv"
"000000007111";"Værdiregl. grunde/arealer"
"000000007113";"Værdiregl. bygninger"
"000000007114";"Værdiregl. infrastruktur"
"000000007115";"Værdiregl. transportmat."
"000000007116";"Værdiregl. prod.anlæg/mask."
"000000007117";"Værdiregl. IT-udstyr"
"000000007118";"Værdiregl. inventar"
"000000007121";"Værdiregulering finansielle poster"
"000000007200";"Reserveret egenkapital"
"000000007211";"Reserveret egenkapital"
"000000007300";"Henlæggelser af egenkapitalen"
"000000007311";"Bortfald af årets resultat"
"000000007314";"Afregning vedr. resultatdisponringen"
"000000007315";"Mellemværende vedr. resultatdisponeringen"
"000000007350";"Udbytte"
"000000007400";"Fri egenkapital (budgettering af årets resultat)"
"000000007403";"Modkonto, resultatdisponering"
"000000007406";"Reguleret overført overskud"
"000000007407";"Overført overskud. Gebyrvirk."
"000000007411";"Egenkapital"
"000000007412";"Kontoændringer, egenkapitalen"
"000000007413";"Bortfald af overført overskud, egenkapitalen"
"000000007414";"Afregning vedr. egenkapitalen"
"000000007415";"Mellemværende vedr. egenkapitalen"
"000000007421";"Årets afsk. udg. bev"
"000000007426";"Tlbf. gev/tab anlæg udg. bev."
"000000007441";"Modkto flyt/p.korr anlæg"
"000000007442";"Modkto flyt/p.korr. varer"
"000000007443";"Modkto flyt/p.kor. tilgodehav."
"000000007444";"Modkto flyt/p.korr fin.gæld"
"000000007445";"Modkto flyt/p.korr udlån"
"000000007446";"Modkto flyt.korr værdipapir"
"000000007447";"Modkto flyt/p.korr fin.aktiver"
"000000007448";"Modkto flyt/p.korr hensæt."
"000000007461";"Likvid.tildeling, selvst. likv"
"000000007462";"Øvr. likvid.afr, selvst. likv."
"000000007464";"Udsaldering SKB FF1-konti"
"000000007466";"Udsaldering, DN-konto til FM"
"000000007468";"Likv overf indenf pengeforsomr"
"000000007471";"Neutralisering af akkumuleret overskud, udgiftsbaseret driftsbevillinger"
"000000007472";"Akkumuleret videreført overskud, udgiftsbaseret driftsbevillinger"
"000000007480";"Mellemregning lokale systemer"
"000000007490";"Akkumuleret overskud til videreførelse, udgiftsbaserede område"
"000000007491";"Afvigelse mellem bevilling og regnskab, udgiftsbaserede område"
"000000007492";"Kontoændringer, udgiftsbaserede område"
"000000007493";"Bortfald, udgiftsbaserede område"
"000000007494";"Bevillingstekniske omflytninger, udgiftsbaserede område"
"000000007500";"Reserveret bevilling (budgetteret forbrug heraf)"
"000000007511";"Reserveret bevilling"
"000000007512";"Kontoændringer, reserveret bevilling"
"000000007513";"Bortfald af reserveret bevilling"
"000000007514";"Afregning vedr. reserveret bevilling"
"000000007515";"Mellemværende vedr. reserveret bevilling"
"000000007598";"Ænd.af reserv.bevilling ØS"
"000000007600";"Hensættelser"
"000000007616";"Hensættelse resløn og frivfrat"
"000000007617";"Hensættelser - ændringer"
"000000007700";"Hensættelser vedr. afgivne tilsagn mv."
"000000007795";"Hensæt. vedr. afgivne tilsagn"
"000000007796";"Hensæt. vedr. statsforskrivn."
"000000007797";"Modkonto tilsagnsudbet."
"000000007798";"Ænd.af hensæt.afgiv.tilsagn ØS"
"000000007800";"Overført overskud"
"000000008000";"Statsgæld indland, tilgang"
"000000008012";"Indl. statsgæld tilgang"
"000000008018";"Indl. statsgæld værdiregul. tilgang"
"000000008020";"Indl. statsgæld primokorr."
"000000008022";"Indl. statsgæld flyt.bfkr."
"000000008024";"Indl. statsgl.lang-perio.rente"
"000000008026";"Nettogæld vedr. gensidig sikkerhedsstillelse"
"000000008100";"Statsgæld indland, afgang"
"000000008112";"Indl. statsgæld afgang"
"000000008118";"Indl. statsgæld værdiregul. afgang"
"000000008200";"Statsgæld udland, tilgang"
"000000008212";"Udl. statsgæld. tilgang"
"000000008218";"Udl. statsgæld.værdiregul"
"000000008220";"Udl. statsgæld. primokorr"
"000000008222";"Udl. statsgæld flyt.bfkr."
"000000008224";"Udl. statsgl.lang perio.renter"
"000000008300";"Statsgæld udland, afgang"
"000000008312";"Udl. statsgæld. afgang"
"000000008400";"Prioritetsgæld og anden langfristet gæld, tilgang"
"000000008412";"Prioritetsgæld mv - tilgang"
"000000008414";"Anden langf. gæld - tilgang"
"000000008420";"Gæld finansiel leasing tilgang"
"000000008422";"Prioritetsgæld værdiregulering"
"000000008424";"Anden langf.gæld værdireg."
"000000008432";"Prioritetsgæld primokorrektion"
"000000008434";"Anden langf.gæld primokorr."
"000000008442";"Prioritetsgæld flyt.bfkr."
"000000008444";"And. langfr.gæld flyt.ml.bfkr."
"000000008497";"Ænd.prioritetsgæld Modst"
"000000008500";"Prioritetsgæld og anden langfristet gæld, afgang"
"000000008502";"Prioritetsgæld mv - afgang"
"000000008504";"Anden langf.gæld - Afgang"
"000000008520";"Gæld finansiel leasing afgang"
"000000008600";"Langfristet gæld på SKB-konti"
"000000008621";"SKB FF4 langfristet gæld"
"000000008641";"SKB FF6 bygge og IT-kredit"
"000000008700";"Donationer"
"000000008730";"Donat./ref. bygninger (andre)"
"000000008744";"Donat. afskrivning/tilbagef."
"000000008748";"Donat. Nationalejend/neutral"
"000000008797";"Ændring i donationer ØS"
"000000009300";"Igangværende arbejder for fremmedregning, forpligtelser"
"000000009341";"Igangv.arb.f.frem.reg.forpligt"
"000000009345";"Modt. indb. til senere lev."
"000000009398";"Ænd.igangv.arb.ff.reg.forpl.ØS"
"000000009400";"Feriepengeforpligtelse"
"000000009411";"Skyldige feriepenge"
"000000009498";"Ænd. feriepeng.forpligt. Modst"
"000000009500";"Gæld vedr. køb af varer og tjenester"
"000000009511";"Gæld vedr. køb af varer"
"000000009515";"Kreditorsamlekonto"
"000000009516";"Lokalsystem, kred.samlekonto"
"000000009518";"Gæld int.statsl.handl kred.sys"
"000000009520";"Skyldige omkostninger"
"000000009598";"Ænd. varer/tj.ydelser Modst"
"000000009600";"Periodeafgrænsningsposter, forpligtelser"
"000000009690";"Peri.afg.poster, forpligtelser"
"000000009698";"Ænd. per.afg. Modst"
"000000009700";"Anden kortfristet gæld"
"000000009705";"Gæld til eksport Kredit fonden"
"000000009706";"Gæld til EksportKreditFonden - Eksportlåneordningen"
"000000009710";"Skyld. bortfald årets resultat"
"000000009721";"Erhvervelsesmoms tjenesteydelser"
"000000009722";"Erhvervelsesmoms varer"
"000000009723";"Energiafgifter"
"000000009724";"Indgående toldmoms"
"000000009725";"Udgående toldmoms"
"000000009726";"Afregning toldmoms"
"000000009727";"Indeholdt indkomstskat"
"000000009728";"Anden gæld incl. importmoms af varer"
"000000009729";"Indeholdt ATP-bidrag"
"000000009730";"Anden kortfristet gæld"
"000000009733";"Refusion af indtægter"
"000000009735";"Skyldigt overarbejde"
"000000009740";"Mellemregning indenfor virksomheden"
"000000009750";"Modtagne udlæg/indeh."
"000000009760";"Deponenter mv."
"000000009770";"Mlregn., stat og særlige fonde"
"000000009772";"Øvr. tilgh. intern stat.handel"
"000000009774";"Mellemv. OBS i SKB ØS"
"000000009775";"Mellemv. SI i SKB ØS"
"000000009776";"Mellemv. særl.fonde SKB i ØS"
"000000009778";"Mellemv. ved ressortændringer"
